year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2009,Adam,,Blake Griffin,Oklahoma,2,22.700001,28,33,30,23,,,114,4,28.5,1,4,4,South,Big 12,25,Oklahoma,-97.440002,35.189999
2009,Adam,,Terrence Williams,Louisville,1,12.5,13,24,14,5,,,56,4,14,2,13,4,Midwest,Big East,26,Louisville,-85.75,38.259998
2009,Adam,,Scottie Reynolds,Villanova,3,15.2,8,11,16,15,17,,67,5,13.4,3,20,4,East,Big East,27,Villanova,-75.169998,39.900002
2009,Adam,2,Jon Scheyer,Duke,2,14.9,15,13,13,,,,41,3,13.7,4,29,4,East,ACC,28,Duke,-78.940002,36
2009,Adam,,Cole Aldrich,Kansas,3,14.9,23,13,17,,,,53,3,17.700001,5,36,4,Midwest,Big 12,29,Kansas,-95.25,38.950001
2009,Adam,,Andy Rautins,Syracuse,3,10.5,0,17,12,,,,29,3,9.6999998,6,45,4,South,Big East,30,Syracuse,-76.139999,43.040001
2009,Adam,,Kemba Walker,Connecticut,1,8.8999996,10,8,5,23,5,,51,5,10.2,7,52,4,West,Big East,31,Connecticut,-72.676193,41.768265
2009,Adam,,Austin Daye,Gonzaga,4,12.7,10,10,10,,,,30,3,10,8,61,4,South,West Coast,32,Gonzaga,-117.4,47.669998
2009,Andrew L,,DeJuan Blair,Pittsburgh,1,15.7,27,10,10,20,,,67,4,16.799999,1,5,5,East,Big East,33,Pittsburgh,-79.96228,40.443821
2009,Andrew L,,Earl Clark,Louisville,1,14.2,12,12,19,19,,,62,4,15.5,2,12,5,Midwest,Big East,34,Louisville,-85.75,38.259998
2009,Andrew L,,Kyle Singler,Duke,2,16.5,10,17,15,,,,42,3,14,3,21,5,East,ACC,35,Duke,-78.940002,36
2009,Andrew L,,Dante Cunningham,Villanova,3,16.1,25,18,14,14,12,,83,5,16.6,4,28,5,East,Big East,36,Villanova,-75.169998,39.900002
2009,Andrew L,4,Raymar Morgan,Michigan St.,2,10.2,16,3,4,0,18,4,45,6,7.5,5,37,5,Midwest,Big Ten,37,Michigan St.,-84.489998,42.73
2009,Andrew L,,Josh Heytvelt,Gonzaga,4,14.9,22,10,14,,,,46,3,15.3,6,44,5,South,West Coast,38,Gonzaga,-117.4,47.669998
2009,Andrew L,,BJ Raymond,Xavier,4,14.1,13,15,15,,,,43,3,14.3,7,53,5,East,Atlantic 10,39,Xavier,-84.470001,39.150002
2009,Andrew L,,Jon Brockman,Washington,4,14.9,10,20,,,,,30,2,15,8,60,5,West,Pac-12,40,Washington,-122.3,47.650002
2009,Josh,,Tyreke Evans,Memphis,2,17.1,15,19,33,,,,67,3,22.299999,1,6,6,West,Conference USA,41,Memphis,-90.050583,35.138123
2009,Josh,,Gerald Henderson,Duke,2,16.5,13,24,7,,,,44,3,14.7,2,11,6,East,ACC,42,Duke,-78.940002,36
2009,Josh,,Jeff Teague,Wake Forest,4,19.1,10,,,,,,10,1,10,3,22,6,Midwest,ACC,43,Wake Forest,-80.260002,36.130001
2009,Josh,,Willie Warren,Oklahoma,2,14.6,16,16,6,18,,,56,4,14,4,27,6,South,Big 12,44,Oklahoma,-97.440002,35.189999
2009,Josh,8,Da'Sean Butler,West Virginia,6,17.1,12,,,,,,12,1,12,5,38,6,Midwest,Big East,45,West Virginia,-79.980003,39.650002
2009,Josh,,Isaiah Thomas,Washington,4,15.5,9,24,,,,,33,2,16.5,6,43,6,West,Pac-12,46,Washington,-122.3,47.650002
2009,Josh,,Derrick Brown,Xavier,4,13.7,13,10,14,,,,37,3,12.3,7,54,6,East,Atlantic 10,47,Xavier,-84.470001,39.150002
2009,Josh,,Chris Allen,Michigan St.,2,8.3999996,10,8,7,2,2,3,32,6,5.3000002,8,59,6,Midwest,Big Ten,48,Michigan St.,-84.489998,42.73
2009,James,,AJ Price,Connecticut,1,14.7,20,27,15,18,15,,95,5,19,1,7,7,West,Big East,49,Connecticut,-72.676193,41.768265
2009,James,,Jeff Adrien,Connecticut,1,13.6,13,23,8,12,13,,69,5,13.8,2,10,7,West,Big East,50,Connecticut,-72.676193,41.768265
2009,James,,Jonny Flynn,Syracuse,3,17.4,16,11,22,,,,49,3,16.299999,3,23,7,South,Big East,51,Syracuse,-76.139999,43.040001
2009,James,,LeVance Fields,Pittsburgh,1,10.7,6,13,14,10,,,43,4,10.8,4,26,7,East,Big East,52,Pittsburgh,-79.96228,40.443821
2009,James,2,Jerel McNeal,Marquette,6,19.700001,14,30,,,,,44,2,22,5,39,7,West,Big East,53,Marquette,-87.919998,43.040001
2009,James,,Jermaine Dixon,Pittsburgh,1,8.3999996,0,6,4,5,,,15,4,3.8,6,42,7,East,Big East,54,Pittsburgh,-79.96228,40.443821
2009,James,,Corey Fisher,Villanova,3,10.8,11,13,6,9,13,,52,5,10.4,7,55,7,East,Big East,55,Villanova,-75.169998,39.900002
2009,James,,Stanley Robinson,Connecticut,1,8.5,24,12,10,13,15,,74,5,14.8,8,58,7,West,Big East,56,Connecticut,-72.676193,41.768265
2009,Andrew F,,Ty Lawson,North Carolina,1,16.6,0,23,19,19,22,21,104,6,17.299999,1,8,8,South,ACC,57,North Carolina,-79.040001,35.900002
2009,Andrew F,,Robert Dozier,Memphis,2,12.9,6,17,19,,,,42,3,14,2,9,8,West,Conference USA,58,Memphis,-90.050583,35.138123
2009,Andrew F,,Shawn Taggert,Memphis,2,10.4,8,14,9,,,,31,3,10.3,3,24,8,West,Conference USA,59,Memphis,-90.050583,35.138123
2009,Andrew F,,Samardo Samuels,Louisville,1,11.8,15,13,14,0,,,42,4,10.5,4,25,8,Midwest,Big East,60,Louisville,-85.75,38.259998
2009,Andrew F,,Leo Lyons,Missouri,3,14.6,23,18,15,13,,,69,4,17.299999,5,40,8,West,Big 12,61,Missouri,-92.330002,38.93
2009,Andrew F,5,Doneal Mack,Memphis,2,8.6999998,1,17,0,,,,18,3,6,6,41,8,West,Conference USA,62,Memphis,-90.050583,35.138123
2009,Andrew F,,Paul Harris,Syracuse,3,12,6,4,6,,,,16,3,5.3000002,7,56,8,South,Big East,63,Syracuse,-76.139999,43.040001
2009,Andrew F,,Jerry Smith,Louisville,1,7.8000002,7,6,16,6,,,35,4,8.8000002,8,57,8,Midwest,Big East,64,Louisville,-85.75,38.259998
2010,Andrew F,,Sherron Collins,Kansas,1,15.6,18,10,,,,,28,2,14,1,1,1,Midwest,Big 12,65,Kansas,-95.25,38.950001
2010,Andrew F,,Denis Clemente,Kansas St.,2,16.200001,17,19,25,18,,,79,4,19.799999,2,16,1,West,Big 12,66,Kansas St.,-96.589996,39.200001
2010,Andrew F,,Marcus Morris,Kansas,1,12.3,26,16,,,,,42,2,21,3,17,1,Midwest,Big 12,67,Kansas,-95.25,38.950001
2010,Andrew F,6,Ekpe Udoh,Baylor,3,13.9,20,8,8,18,,,54,4,13.5,4,32,1,South,Big 12,68,Baylor,-97.110001,31.549999
2010,Andrew F,,Chris Wright,Georgetown,3,14.8,28,,,,,,28,1,28,5,33,1,Midwest,Big East,69,Georgetown,-77.019997,38.900002
2010,Andrew F,,James Anderson,Oklahoma St.,7,22.6,11,,,,,,11,1,11,6,48,1,Midwest,Big 12,70,Oklahoma St.,-97.07,36.119999
2010,Andrew F,,Jon Leuer,Wisconsin,4,14.8,20,23,,,,,43,2,21.5,7,49,1,East,Big Ten,71,Wisconsin,-89.400002,43.07
2010,Andrew F,,Markieff Morris,Kansas,1,6.8000002,2,10,,,,,12,2,6,8,64,1,Midwest,Big 12,72,Kansas,-95.25,38.950001
2010,Alex,,John Wall,Kentucky,1,16.9,17,14,8,19,,,58,4,14.5,1,2,2,East,SEC,73,Kentucky,-84.5,38.049999
2010,Alex,,Cole Aldrich,Kansas,2,11.2,11,13,,,,,24,2,12,2,15,2,Midwest,Big 12,74,Kansas,-95.25,38.950001
2010,Alex,,Andy Rautins,Syracuse,1,11.7,11,24,15,,,,50,3,16.700001,3,18,2,West,Big East,75,Syracuse,-76.139999,43.040001
2010,Alex,,Devin Ebanks,West Virginia,2,11.8,16,14,12,12,11,,65,5,13,4,31,2,East,Big East,76,West Virginia,-79.980003,39.650002
2010,Alex,,Jon Diebler,Ohio St.,2,12.6,23,20,3,,,,46,3,15.3,5,34,2,Midwest,Big Ten,77,Ohio St.,-83.019997,40.009998
2010,Alex,7,Jason Clark,Georgetown,3,10.6,7,,,,,,7,1,7,6,47,2,Midwest,Big East,78,Georgetown,-77.019997,38.900002
2010,Alex,,Jimmer Fredette,Brigham Young,7,21.700001,37,21,,,,,58,2,29,7,50,2,West,Mountain West,79,Brigham Young,-111.65,40.25
2010,Alex,,Arinze Onuaku,Syracuse,1,10.5,,,,,,,0,0,0,8,63,2,West,Big East,80,Syracuse,-76.139999,43.040001
2010,Andrew L,,Jon Scheyer,Duke,1,18.700001,13,7,18,20,23,15,96,6,16,1,3,3,South,ACC,81,Duke,-78.940002,36
2010,Andrew L,,Nolan Smith,Duke,1,17.4,10,20,15,29,19,13,106,6,17.700001,2,14,3,South,ACC,82,Duke,-78.940002,36
2010,Andrew L,,Austin Freeman,Georgetown,3,16.700001,9,,,,,,9,1,9,3,19,3,Midwest,Big East,83,Georgetown,-77.019997,38.900002
2010,Andrew L,,Darington Hobson,New Mexico,3,16.200001,11,11,,,,,22,2,11,4,30,3,East,Mountain West,84,New Mexico,-106.63,35.07
2010,Andrew L,,Greivis Vasquez,Maryland,4,19.5,16,26,,,,,42,2,21,5,35,3,Midwest,ACC,85,Maryland,-76.940002,39
2010,Andrew L,,Lazar Hayward,Marquette,6,18.1,20,,,,,,20,1,20,6,46,3,East,Big East,86,Marquette,-87.919998,43.040001
2010,Andrew L,,Brad Wanamaker,Pittsburgh,3,12.1,13,16,,,,,29,2,14.5,7,51,3,West,Big East,87,Pittsburgh,-79.96228,40.443821
2010,Andrew L,2,Damion James,Texas,8,18,16,,,,,,16,1,16,8,62,3,East,Big 12,88,Texas,-97.730003,30.280001
2010,Bryan,,DeMarcus Cousins,Kentucky,1,15.5,5,19,16,15,,,55,4,13.8,1,4,4,East,SEC,89,Kentucky,-84.5,38.049999
2010,Bryan,,LaceDarius Dunn,Baylor,3,19.4,13,26,23,22,,,84,4,21,2,13,4,South,Big 12,90,Baylor,-97.110001,31.549999
2010,Bryan,,William Buford,Ohio St.,2,14.5,16,9,15,,,,40,3,13.3,3,20,4,Midwest,Big Ten,91,Ohio St.,-83.019997,40.009998
2010,Bryan,,Tweety Carter,Baylor,3,15.7,2,12,14,12,,,40,4,10,4,29,4,South,Big 12,92,Baylor,-97.110001,31.549999
2010,Bryan,,David Lighty,Ohio St.,2,12.5,9,18,9,,,,36,3,12,5,36,4,Midwest,Big Ten,93,Ohio St.,-83.019997,40.009998
2010,Bryan,1,Jordan Crawford,Xavier,6,19.700001,28,27,32,,,,87,3,29,6,45,4,West,Atlantic 10,94,Xavier,-84.470001,39.150002
2010,Bryan,,Corey Stokes,Villanova,2,9.5,6,15,,,,,21,2,10.5,7,52,4,South,Big East,95,Villanova,-75.169998,39.900002
2010,Bryan,,Jermaine Dixon,Pittsburgh,3,10.7,17,2,,,,,19,2,9.5,8,61,4,West,Big East,96,Pittsburgh,-79.96228,40.443821
2010,James,,Scottie Reynolds,Villanova,2,18.5,20,8,,,,,28,2,14,1,5,5,South,Big East,97,Villanova,-75.169998,39.900002
2010,James,,Jacob Pullen,Kansas St.,2,18.9,15,34,28,14,,,91,4,22.799999,2,12,5,West,Big 12,98,Kansas St.,-96.589996,39.200001
2010,James,3,Donald Sloan,Texas A&M,5,18.200001,10,11,,,,,21,2,10.5,3,21,5,South,Big 12,99,Texas A&M,-96.349998,30.610001
2010,James,,Eric Bledsoe,Kentucky,1,10.6,29,13,12,7,,,61,4,15.3,4,28,5,East,SEC,100,Kentucky,-84.5,38.049999
2010,James,,Antonio Pena,Villanova,2,10.9,0,9,,,,,9,2,4.5,5,37,5,South,Big East,101,Villanova,-75.169998,39.900002
2010,James,,Rick Jackson,Syracuse,1,10,12,5,4,,,,21,3,7,6,44,5,West,Big East,102,Syracuse,-76.139999,43.040001
2010,James,,Curtis Kelly,Kansas St.,2,11.1,15,10,21,14,,,60,4,15,7,53,5,West,Big 12,103,Kansas St.,-96.589996,39.200001
2010,James,,Samardo Samuels,Louisville,9,15.3,16,,,,,,16,1,16,8,60,5,South,Big East,104,Louisville,-85.75,38.259998
2010,Adam,,Evan Turner,Ohio St.,2,19.9,9,24,31,,,,64,3,21.299999,1,6,6,Midwest,Big Ten,105,Ohio St.,-83.019997,40.009998
2010,Adam,,Patrick Patterson,Kentucky,1,14.7,20,4,9,8,,,41,4,10.3,2,11,6,East,SEC,106,Kentucky,-84.5,38.049999
2010,Adam,,Greg Monroe,Georgetown,3,16.1,19,,,,,,19,1,19,3,22,6,Midwest,Big East,107,Georgetown,-77.019997,38.900002
2010,Adam,,Aston Gibbs,Pittsburgh,3,15.8,7,19,,,,,26,2,13,4,27,6,West,Big East,108,Pittsburgh,-79.96228,40.443821
2010,Adam,5,Scoop Jardine,Syracuse,1,8.8000002,14,9,14,,,,37,3,12.3,5,38,6,West,Big East,109,Syracuse,-76.139999,43.040001
2010,Adam,,Tyshawn Taylor,Kansas,1,7.4000001,6,2,,,,,8,2,4,6,43,6,Midwest,Big 12,110,Kansas,-95.25,38.950001
2010,Adam,,Darryl Bryant,West Virginia,2,9.6999998,4,4,,,,,8,2,4,7,54,6,East,Big East,111,West Virginia,-79.980003,39.650002
2010,Adam,,Dairese Gary,New Mexico,3,12.7,15,25,,,,,40,2,20,8,59,6,East,Mountain West,112,New Mexico,-106.63,35.07
2010,Rob,8,Da'Sean Butler,West Virginia,2,17.4,9,28,14,18,10,,79,5,15.8,1,7,7,East,Big East,113,West Virginia,-79.980003,39.650002
2010,Rob,,Xavier Henry,Kansas,1,13.6,11,8,,,,,19,2,9.5,2,10,7,Midwest,Big 12,114,Kansas,-95.25,38.950001
2010,Rob,,Corey Fisher,Villanova,2,13.7,6,9,,,,,15,2,7.5,3,23,7,South,Big East,115,Villanova,-75.169998,39.900002
2010,Rob,,Jamar Samuels,Kansas St.,2,11.9,2,1,14,0,,,17,4,4.3000002,4,26,7,West,Big 12,116,Kansas St.,-96.589996,39.200001
2010,Rob,,Luke Harangody,Notre Dame,6,22.4,4,,,,,,4,1,4,5,39,7,South,Big East,117,Notre Dame,-86.230003,41.700001
2010,Rob,,Jermaine Beal,Vanderbilt,4,14.7,12,,,,,,12,1,12,6,42,7,West,SEC,118,Vanderbilt,-86.809998,36.139999
2010,Rob,,JaJuan Johnson,Purdue,4,15.2,23,11,23,,,,57,3,19,7,55,7,South,Big Ten,119,Purdue,-86.919998,40.43
2010,Rob,,Ryan Brooks,Temple,5,14.3,14,,,,,,14,1,14,8,58,7,East,Atlantic 10,120,Temple,-75.158562,39.97987
2010,Josh,,Wes Johnson,Syracuse,1,16,18,31,17,,,,66,3,22,1,8,8,West,Big East,121,Syracuse,-76.139999,43.040001
2010,Josh,,Kyle Singler,Duke,1,17.5,22,17,24,5,21,19,108,6,18,2,9,8,South,ACC,122,Duke,-78.940002,36
2010,Josh,,Kevin Jones,West Virginia,2,13.5,17,13,18,13,6,,67,5,13.4,3,24,8,East,Big East,123,West Virginia,-79.980003,39.650002
2010,Josh,,Kris Joseph,Syracuse,1,11.3,8,5,6,,,,19,3,6.3000002,4,25,8,West,Big East,124,Syracuse,-76.139999,43.040001
2010,Josh,,Trevon Hughes,Wisconsin,4,15.4,19,10,,,,,29,2,14.5,5,40,8,East,Big Ten,125,Wisconsin,-89.400002,43.07
2010,Josh,4,E'Twaun Moore,Purdue,4,16.6,12,15,18,,,,45,3,15,6,41,8,South,Big Ten,126,Purdue,-86.919998,40.43
2010,Josh,,Raymar Morgan,Michigan St.,5,11.5,11,17,7,13,4,,52,5,10.4,7,56,8,Midwest,Big Ten,127,Michigan St.,-84.489998,42.73
2010,Josh,,Isaih Thomas,Washington,11,17.1,19,15,13,,,,47,3,15.7,8,57,8,East,Pac-12,128,Washington,-122.3,47.650002
2011,Adam,,Jimmer Fredette,Brigham Young,3,28.5,32,34,32,,,,98,3,32.700001,1,1,1,Southeast,Mountain West,129,Brigham Young,-111.65,40.25
2011,Adam,,Kenny Boynton,Florida,2,14.2,13,12,17,17,,,59,4,14.8,2,16,1,Southeast,SEC,130,Florida,-82.349998,29.65
2011,Adam,4,Scoop Jardine,Syracuse,3,12.8,9,6,,,,,15,2,7.5,3,17,1,East,Big East,131,Syracuse,-76.139999,43.040001
2011,Adam,,Tyrel Reed,Kansas,1,10,8,6,6,9,,,29,4,7.3000002,4,32,1,Southwest,Big 12,132,Kansas,-95.25,38.950001
2011,Adam,,Jordan Taylor,Wisconsin,4,18.1,21,12,22,,,,55,3,18.299999,5,33,1,Southeast,Big Ten,133,Wisconsin,-89.400002,43.07
2011,Adam,,Tu Holloway,Xavier,6,20.200001,5,,,,,,5,1,5,6,48,1,East,Atlantic 10,134,Xavier,-84.470001,39.150002
2011,Adam,,DJ Gay,San Diego St.,2,11.2,5,9,16,,,,30,3,10,7,49,1,West,Mountain West,135,San Diego St.,-117.07,32.77
2011,Adam,,Malcom Thomas,San Diego St.,2,11.5,4,13,13,,,,30,3,10,8,64,1,West,Mountain West,136,San Diego St.,-117.07,32.77
2011,Alex,,Marcus Morris,Kansas,1,17.299999,16,17,13,20,,,66,4,16.5,1,2,2,Southwest,Big 12,137,Kansas,-95.25,38.950001
2011,Alex,,David Lighty,Ohio St.,1,11.9,8,25,12,,,,45,3,15,2,15,2,East,Big Ten,138,Ohio St.,-83.019997,40.009998
2011,Alex,,Dwight Hardy,St. Johns,6,18,26,,,,,,26,1,26,3,18,2,Southeast,Big East,139,St. Johns,-73.79464,40.724121
2011,Alex,8,Jacob Pullen,Kansas St.,5,19.5,22,38,,,,,60,2,30,4,31,2,Southeast,Big 12,140,Kansas St.,-96.589996,39.200001
2011,Alex,,Rick Jackson,Syracuse,3,13,23,7,,,,,30,2,15,5,34,2,East,Big East,141,Syracuse,-76.139999,43.040001
2011,Alex,,Kyle Kuric,Louisville,4,10.8,9,,,,,,9,1,9,6,47,2,Southwest,Big East,142,Louisville,-85.75,38.259998
2011,Alex,,Brandon Triche,Syracuse,3,11.3,8,8,,,,,16,2,8,7,50,2,East,Big East,143,Syracuse,-76.139999,43.040001
2011,Alex,,Mason Plumlee,Duke,1,7.0999999,12,4,8,,,,24,3,8,8,63,2,West,ACC,144,Duke,-78.940002,36
2011,Rob,,Harrison Barnes,North Carolina,2,15,24,22,20,18,,,84,4,21,1,3,3,East,ACC,145,North Carolina,-79.040001,35.900002
2011,Rob,,Jordan Hamilton,Texas,4,18.6,19,18,,,,,37,2,18.5,2,14,3,West,Big 12,146,Texas,-97.730003,30.280001
2011,Rob,,Tyler Zeller,North Carolina,2,14.5,32,23,27,21,,,103,4,25.799999,3,19,3,East,ACC,147,North Carolina,-79.040001,35.900002
2011,Rob,5,Brandon Knight,Kentucky,4,17.5,2,30,9,22,17,,80,5,16,4,30,3,East,SEC,148,Kentucky,-84.5,38.049999
2011,Rob,,John Jenkins,Vanderbilt,5,19.5,21,,,,,,21,1,21,5,35,3,Southwest,SEC,149,Vanderbilt,-86.809998,36.139999
2011,Rob,,Carleton Scott,Notre Dame,2,11.6,8,4,,,,,12,2,6,6,46,3,Southwest,Big East,150,Notre Dame,-86.230003,41.700001
2011,Rob,,Vernon Macklin,Florida,2,11.5,10,10,9,25,,,54,4,13.5,7,51,3,Southeast,SEC,151,Florida,-82.349998,29.65
2011,Rob,,Rodney McGruder,Kansas St.,5,11.4,10,3,,,,,13,2,6.5,8,62,3,Southeast,Big 12,152,Kansas St.,-96.589996,39.200001
2011,Josh,,Nolan Smith,Duke,1,21.299999,9,24,8,,,,41,3,13.7,1,4,4,West,ACC,153,Duke,-78.940002,36
2011,Josh,,JaJuan Johnson,Purdue,3,20.5,16,25,,,,,41,2,20.5,2,13,4,Southwest,Big Ten,154,Purdue,-86.919998,40.43
2011,Josh,2,Erving Walker,Florida,2,14.6,18,21,16,8,,,63,4,15.8,3,20,4,Southeast,SEC,155,Florida,-82.349998,29.65
2011,Josh,,Kawhi Leonard,San Diego St.,2,15.4,19,16,12,,,,47,3,15.7,4,29,4,West,Mountain West,156,San Diego St.,-117.07,32.77
2011,Josh,,Kyrie Irving,Duke,1,17.4,14,11,28,,,,53,3,17.700001,5,36,4,West,ACC,157,Duke,-78.940002,36
2011,Josh,,Doron Lamb,Kentucky,4,13.2,7,6,6,8,13,,40,5,8,6,45,4,East,SEC,158,Kentucky,-84.5,38.049999
2011,Josh,,John Henson,North Carolina,2,11.5,28,10,14,4,,,56,4,14,7,52,4,East,ACC,159,North Carolina,-79.040001,35.900002
2011,Josh,,Corey Fisher,Villanova,9,15.4,20,,,,,,20,1,20,8,61,4,East,Big East,160,Villanova,-75.169998,39.900002
2011,Andrew F,,Jared Sullinger,Ohio St.,1,17.299999,11,18,21,,,,50,3,16.700001,1,5,5,East,Big Ten,161,Ohio St.,-83.019997,40.009998
2011,Andrew F,,Kyle Singler,Duke,1,17.299999,11,13,18,,,,42,3,14,2,12,5,West,ACC,162,Duke,-78.940002,36
2011,Andrew F,,Tim Abromatis,Notre Dame,2,15.3,14,21,,,,,35,2,17.5,3,21,5,Southwest,Big East,163,Notre Dame,-86.230003,41.700001
2011,Andrew F,,Jon Leuer,Wisconsin,4,18.6,22,19,3,,,,44,3,14.7,4,28,5,Southeast,Big Ten,164,Wisconsin,-89.400002,43.07
2011,Andrew F,7,Terrance Jones,Kentucky,4,16.5,10,12,8,11,11,,52,5,10.4,5,37,5,East,SEC,165,Kentucky,-84.5,38.049999
2011,Andrew F,,Chandler Parsons,Florida,2,11.6,10,7,16,5,,,38,4,9.5,6,44,5,Southeast,SEC,166,Florida,-82.349998,29.65
2011,Andrew F,,Gary Johnson,Texas,4,11.5,8,14,,,,,22,2,11,7,53,5,West,Big 12,167,Texas,-97.730003,30.280001
2011,Andrew F,,Jeffery Taylor,Vanderbilt,5,15.1,4,,,,,,4,1,4,8,60,5,Southwest,SEC,168,Vanderbilt,-86.809998,36.139999
2011,Andrew L,,Ashton Gibbs,Pittsburgh,1,16.700001,26,11,,,,,37,2,18.5,1,6,6,Southeast,Big East,169,Pittsburgh,-79.96228,40.443821
2011,Andrew L,,Ben Hansbrough,Notre Dame,2,18.5,15,18,,,,,33,2,16.5,2,11,6,Southwest,Big East,170,Notre Dame,-86.230003,41.700001
2011,Andrew L,3,E'Twuan Moore,Purdue,3,18.200001,19,10,,,,,29,2,14.5,3,22,6,Southwest,Big Ten,171,Purdue,-86.919998,40.43
2011,Andrew L,,Kris Joseph,Syracuse,3,14.4,12,12,,,,,24,2,12,4,27,6,East,Big East,172,Syracuse,-76.139999,43.040001
2011,Andrew L,,Derrick Williams,Arizona,5,19.1,22,17,32,20,,,91,4,22.799999,5,38,6,West,Pac-12,173,Arizona,-110.95,32.23
2011,Andrew L,,Seth Curry,Duke,1,9.3999996,9,0,2,,,,11,3,3.7,6,43,6,West,ACC,174,Duke,-78.940002,36
2011,Andrew L,,Casey Mitchell,West Virginia,5,14.1,4,11,,,,,15,2,7.5,7,54,6,East,Big East,175,West Virginia,-79.980003,39.650002
2011,Andrew L,,Alex Oriakhi,Connecticut,3,10,9,4,5,7,8,11,44,6,7.3000002,8,59,6,West,Big East,176,Connecticut,-72.676193,41.768265
2011,Bryan,1,Kemba Walker,Connecticut,3,23.5,18,33,36,20,18,16,141,6,23.5,1,7,7,West,Big East,177,Connecticut,-72.676193,41.768265
2011,Bryan,,Jon Diebler,Ohio St.,1,12.4,14,13,16,,,,43,3,14.3,2,10,7,East,Big Ten,178,Ohio St.,-83.019997,40.009998
2011,Bryan,,Brad Wanamaker,Pittsburgh,1,12,6,8,,,,,14,2,7,3,23,7,Southeast,Big East,179,Pittsburgh,-79.96228,40.443821
2011,Bryan,,Preston Knowles,Louisville,4,14.8,9,,,,,,9,1,9,4,26,7,Southwest,Big East,180,Louisville,-85.75,38.259998
2011,Bryan,,Tyshawn Taylor,Kansas,1,9.1000004,10,13,4,14,,,41,4,10.3,5,39,7,Southwest,Big 12,181,Kansas,-95.25,38.950001
2011,Bryan,,Jeremy Lamb,Connecticut,3,10.3,16,14,24,19,12,12,97,6,16.200001,6,42,7,West,Big East,182,Connecticut,-72.676193,41.768265
2011,Bryan,,Nasir Robinson,Pittsburgh,1,9,12,16,,,,,28,2,14,7,55,7,Southeast,Big East,183,Pittsburgh,-79.96228,40.443821
2011,Bryan,,Austin Freeman,Georgetown,6,17.9,10,,,,,,10,1,10,8,58,7,Southwest,Big East,184,Georgetown,-77.019997,38.900002
2011,James,,Markieff Morris,Kansas,1,13.6,15,24,5,13,,,57,4,14.3,1,8,8,Southwest,Big 12,185,Kansas,-95.25,38.950001
2011,James,,William Buford,Ohio St.,1,14.2,18,18,9,,,,45,3,15,2,9,8,East,Big Ten,186,Ohio St.,-83.019997,40.009998
2011,James,6,Gilbert Brown,Pittsburgh,1,10.9,9,24,,,,,33,2,16.5,3,24,8,Southeast,Big East,187,Pittsburgh,-79.96228,40.443821
2011,James,,Tristan Thompson,Texas,4,13.3,17,3,,,,,20,2,10,4,25,8,West,Big 12,188,Texas,-97.730003,30.280001
2011,James,,Deshaun Thomas,Ohio St.,1,7.8000002,13,7,0,,,,20,3,6.6999998,5,40,8,East,Big Ten,189,Ohio St.,-83.019997,40.009998
2011,James,,Aaron Craft,Ohio St.,1,7.3000002,0,6,2,,,,8,3,2.7,6,41,8,East,Big Ten,190,Ohio St.,-83.019997,40.009998
2011,James,,Isaiah Thomas,Washington,7,16.799999,19,12,,,,,31,2,15.5,7,56,8,East,Pac-12,191,Washington,-122.3,47.650002
2011,James,,Scotty Hopson,Tennessee,9,17.4,4,,,,,,4,1,4,8,57,8,West,SEC,192,Tennessee,-83.925056,35.951138
2012,James,,Harrison Barnes,North Carolina,1,17.4,14,17,12,13,,,56,4,14,1,1,1,Midwest,ACC,193,North Carolina,-79.040001,35.900002
2012,James,,Michael Kidd Gilchrist,Kentucky,1,11.8,9,2,24,19,9,11,74,6,12.3,2,16,1,South,SEC,194,Kentucky,-84.5,38.049999
2012,James,,Ricardo Ratcliff,Missouri,2,13.9,14,,,,,,14,1,14,3,17,1,West,Big 12,195,Missouri,-92.330002,38.93
2012,James,,Marquis Teague,Kentucky,1,9.3999996,12,24,14,8,8,14,80,6,13.3,4,32,1,South,SEC,196,Kentucky,-84.5,38.049999
2012,James,5,Bernard James,Florida St.,3,10.5,19,12,,,,,31,2,15.5,5,33,1,East,ACC,197,Florida St.,-84.290001,30.440001
2012,James,,Isiah Canaan,Murray St.,6,19.200001,15,16,,,,,31,2,15.5,6,48,1,West,Ohio Valley,198,Murray St.,-88.32,36.619999
2012,James,,Ian Miller,Florida St.,3,10.9,8,0,,,,,8,2,4,7,49,1,East,ACC,199,Florida St.,-84.290001,30.440001
2012,James,,Brady Heslip,Baylor,3,9.6000004,17,27,11,4,,,59,4,14.8,8,64,1,South,Big 12,200,Baylor,-97.110001,31.549999
2012,Josh,,Marcus Denmon,Missouri,2,17.6,20,,,,,,20,1,20,1,2,2,West,Big 12,201,Missouri,-92.330002,38.93
2012,Josh,,Kim English,Missouri,2,14.9,2,,,,,,2,1,2,2,15,2,West,Big 12,202,Missouri,-92.330002,38.93
2012,Josh,3,William Buford,Ohio St.,2,14.7,17,13,4,13,19,,66,5,13.2,3,18,2,East,Big Ten,203,Ohio St.,-83.019997,40.009998
2012,Josh,,Jason Clark,Georgetown,3,13.9,21,10,,,,,31,2,15.5,4,31,2,Midwest,Big East,204,Georgetown,-77.019997,38.900002
