year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2023,Alex,,Mike Miles Jr.,TCU,6,17.299999,26,24,,,,,50,2,25,4,32,1,,,836,TCU,-97.370003,32.709999
2023,Alex,,Santiago Vescovi,Tennessee,4,12.9,3,14,9,,,,26,3,8.6999998,5,33,1,,,837,Tennessee,-83.925056,35.951138
2023,Alex,,Braden Smith,Purdue,1,10,7,,,,,,7,1,7,6,48,1,,,838,Purdue,-86.919998,40.43
2023,Alex,,Tramon Mark,Houston,1,9.6999998,4,26,14,,,,44,3,14.7,7,49,1,,,839,Houston,-95.346931,29.724676
2023,Alex,,Wade Taylor IV,Texas A&M,8,16.6,10,,,,,,10,1,10,8,64,1,,,840,Texas A&M,-96.349998,30.610001
2023,Josh,,Jalen Wilson,Kansas,1,20.1,20,20,,,,,40,2,20,1,2,2,,,841,Kansas,-95.25,38.950001
2023,Josh,,Keyonte George,Baylor,3,15.8,9,7,,,,,16,2,8,2,15,2,,,842,Baylor,-97.110001,31.549999
2023,Josh,,Markquis Nowell,Kansas St.,3,16.799999,17,27,20,30,,,94,4,23.5,3,18,2,,,843,Kansas St.,-96.589996,39.200001
2023,Josh,,Sir'Jabari Rice,Texas,2,12.6,23,13,16,15,,,67,4,16.799999,4,31,2,,,844,Texas,-97.730003,30.280001
2023,Josh,,Kendric Davis,Memphis,8,21.799999,16,,,,,,16,1,16,5,34,2,,,845,Memphis,-90.050583,35.138123
2023,Josh,,Tyrese Hunter,Texas,2,10.2,10,6,19,9,,,44,4,11,6,47,2,,,846,Texas,-97.730003,30.280001
2023,Josh,,Jeremy Roach,Duke,5,13.3,23,13,,,,,36,2,18,7,50,2,,,847,Duke,-78.940002,36
2023,Josh,,Armaan Franklin,Virginia,4,12.5,8,,,,,,8,1,8,8,63,2,,,848,Virginia,-78.510002,38.049999
2023,Adam,,Zach Edey,Purdue,1,22.1,21,,,,,,21,1,21,1,3,3,,,849,Purdue,-86.919998,40.43
2023,Adam,,Oumar Ballo,Arizona,2,14.2,13,,,,,,13,1,13,2,14,3,,,850,Arizona,-110.95,32.23
2023,Adam,,Julian Strawther,Gonzaga,3,15.1,28,10,16,11,,,65,4,16.299999,3,19,3,,,851,Gonzaga,-117.4,47.669998
2023,Adam,,Jamal Shead,Houston,1,10.2,13,10,15,,,,38,3,12.7,4,30,3,,,852,Houston,-95.346931,29.724676
2023,Adam,,J'Wan Roberts,Houston,1,10.3,11,6,2,,,,19,3,6.3000002,5,35,3,,,853,Houston,-95.346931,29.724676
2023,Adam,,Jahvon Quinerly,Alabama,1,7.6999998,13,22,10,,,,45,3,15,6,46,3,,,854,Alabama,-87.539696,33.202972
2023,Adam,,DeAndre Williams,Memphis,8,17.9,13,,,,,,13,1,13,7,51,3,,,855,Memphis,-90.050583,35.138123
2023,Adam,,Kevin McCullar Jr.,Kansas,1,10.7,10,13,,,,,23,2,11.5,8,62,3,,,856,Kansas,-95.25,38.950001
