tFirst,tSecond,interval,lon,lat,date,band
2013-06-29 5:30,2013-06-29 15:25,61,-156.0008735,19.17935888,2013-06-29,841
2013-06-29 15:25,2013-06-30 5:40,62,-157.2258625,21.41739793,2013-06-29,841
2013-06-30 5:40,2013-06-30 15:25,63,-157.201222,21.49009364,2013-06-30,841
2013-06-30 15:25,2013-07-01 5:20,64,-154.6772167,16.85330268,2013-06-30,841
2013-07-01 5:20,2013-07-01 15:30,65,-155.2780091,15.70868028,2013-07-01,841
2013-07-01 15:30,2013-07-02 5:45,66,-158.3787954,21.54599694,2013-07-01,841
2013-07-02 5:45,2013-07-02 15:30,67,-158.3552328,21.62364061,2013-07-02,841
2013-07-02 15:30,2013-07-03 5:50,68,-158.9569441,22.71787841,2013-07-02,841
2013-07-03 5:50,2013-07-03 15:40,69,-160.1838283,20.57739354,2013-07-03,841
2013-05-30 05:24,2013-05-30 15:29,1,-157.23471,17.9862975,2013-05-30,843
2013-05-30 15:29,2013-05-31 05:29,2,-157.8417773,19.12878833,2013-05-30,843
2013-05-31 05:29,2013-05-31 15:34,3,-158.4484814,17.86122861,2013-05-31,843
2013-05-31 15:34,2013-06-01 04:44,4,-152.8053551,5.457527559,2013-05-31,843
2013-06-01 04:44,2013-06-01 15:29,5,-152.1613508,6.935218946,2013-06-01,843
2013-06-01 15:29,2013-06-02 05:24,6,-157.1412802,17.64787309,2013-06-01,843
2013-06-02 05:24,2013-06-02 16:19,7,-163.3707032,3.959337439,2013-06-02,843
2013-06-02 16:19,2013-06-03 05:09,8,-161.4755961,-0.6015141499,2013-06-02,843
2013-06-03 05:09,2013-06-03 15:44,9,-157.0804404,9.644682599,2013-06-03,843
2013-06-03 15:44,2013-06-04 5:14,10,-157.6843042,10.93839487,2013-06-03,843
2013-06-04 5:14,2013-06-04 15:49,11,-158.2878493,9.580414076,2013-06-04,843
2013-06-04 15:49,2013-06-05 5:19,12,-158.8909989,10.86840436,2013-06-04,843
2013-06-05 5:19,2013-06-05 15:34,13,-156.9941582,14.82987625,2013-06-05,843
2013-06-05 15:34,2013-06-06 05:09,14,-155.72187,12.14153083,2013-06-05,843
2013-06-06 05:09,2013-06-06 15:29,15,-155.0742297,13.46677373,2013-06-06,843
2013-06-06 15:29,2013-06-07 5:44,16,-159.4255895,21.83898813,2013-06-06,843
2013-06-07 5:44,2013-06-07 16:04,17,-163.7766843,13.3976086,2013-06-07,843
2013-06-07 16:04,2013-06-08 05:19,18,-160.6284251,6.571757859,2013-06-07,843
2013-06-08 05:19,2013-06-08 15:24,19,-155.6051815,17.09325057,2013-06-08,843
2013-06-08 15:24,2013-06-09 05:29,20,-156.8308,19.38788534,2013-06-08,843
2013-06-09 05:29,2013-06-09 15:29,21,-157.431286,18.22275834,2013-06-09,843
2013-06-09 15:29,2013-06-10 05:49,22,-159.9062212,22.68012375,2013-06-09,843
2013-06-10 05:49,2013-06-10 15:49,23,-162.3809572,18.15586435,2013-06-10,843
2013-06-10 15:49,2013-06-11 05:39,24,-161.1059507,15.66235037,2013-06-10,843
2013-06-11 05:39,2013-06-11 15:34,25,-159.2058565,19.26432901,2013-06-11,843
2013-06-11 15:34,2013-06-12 05:24,26,-157.3055319,15.61067261,2013-06-11,843
2013-06-12 05:24,2013-06-12 15:24,27,-156.0299613,18.04293928,2013-06-12,843
2013-06-12 15:24,2013-06-13 05:44,28,-158.5036413,22.48096086,2013-06-12,843
